id,label
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,1
543,1
544,0
545,1
546,0
547,1
548,0
549,0
550,0
551,1
552,0
553,1
554,1
555,1
556,1
557,0
558,1
559,0
560,1
561,0
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,0
570,0
571,0
572,1
573,1
574,1
575,0
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,1
605,1
606,0
607,1
608,0
609,1
610,1
611,0
612,1
613,0
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,0
629,1
630,0
631,1
632,0
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,0
641,0
642,0
643,0
644,0
645,1
646,1
647,1
648,0
649,1
650,0
651,1
652,1
653,0
654,1
655,1
656,0
657,0
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,1
673,1
674,1
675,1
676,0
677,0
678,1
679,0
680,0
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,0
712,0
713,0
714,1
715,0
716,1
717,1
718,0
719,1
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,0
730,0
731,0
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,0
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,1
759,1
760,0
761,1
762,1
763,1
764,1
765,0
766,0
767,1
768,1
769,0
770,1
771,1
772,0
773,1
774,1
775,0
776,0
777,1
778,0
779,1
780,0
781,1
782,1
783,1
784,0
785,0
786,1
787,1
788,1
789,0
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
