id,tc_true,m1,m2,snr,event_type,duration
128,1262305029.8198,22.99,33.27,5.553,light_BBH,2.257
129,1262305036.0757,39.48,31.11,5.461,heavy_BBH,1.832
132,1262305061.251,43.61,31.67,5.772,heavy_BBH,1.838
134,1262305078.0044,18.56,37.02,6.73,light_BBH,2.386
135,1262305083.3569,31.64,13.23,4.61,light_BBH,3.066
138,1262305110.1294,42.71,23.78,7.595,heavy_BBH,1.985
142,1262305139.0884,18.4,14.87,6.26,light_BBH,3.867
143,1262305147.7144,42.94,22.17,17.511,heavy_BBH,2.105
145,1262305166.4058,20.31,33.99,6.68,light_BBH,2.38
146,1262305172.3809,35.08,24.29,7.057,light_BBH,2.18
147,1262305180.8027,16.63,41.26,4.479,light_BBH,2.379
148,1262305188.6919,20.6,15.18,7.479,light_BBH,3.571
150,1262305204.3545,44.21,17.06,17.045,heavy_BBH,2.285
151,1262305211.3501,25.79,28.05,7.48,light_BBH,2.301
152,1262305222.3169,22.55,13.88,5.813,light_BBH,3.581
154,1262305235.6514,29.54,16.62,5.598,light_BBH,2.812
156,1262305254.0933,42.33,39.11,4.438,heavy_BBH,1.679
158,1262305267.624,19.09,28.09,18.246,light_BBH,2.684
159,1262305277.5352,19.79,39.05,5.859,light_BBH,2.231
162,1262305301.2305,42.76,20.21,11.031,heavy_BBH,2.138
164,1262305316.498,37.72,29.1,12.571,heavy_BBH,1.911
165,1262305324.6895,18.71,38.62,5.273,light_BBH,2.309
166,1262305333.1592,12.07,23.32,3.982,light_BBH,3.816
168,1262305350.1914,26.36,27.63,18.652,light_BBH,2.281
171,1262305372.1436,22.06,15.11,14.0,light_BBH,3.471
177,1262305419.854,40.98,37.56,7.073,heavy_BBH,1.687
184,1262305477.3057,39.18,31.49,14.9,heavy_BBH,1.833
185,1262305485.1533,16.9,31.98,6.0,light_BBH,2.654
186,1262305493.3701,40.21,36.93,5.116,heavy_BBH,1.703
187,1262305500.6274,27.1,33.36,5.741,heavy_BBH,2.064
188,1262305507.5361,21.28,27.92,4.852,light_BBH,2.531
199,1262305596.8008,15.26,15.44,5.297,light_BBH,4.239
200,1262305603.3052,15.14,22.47,7.53,light_BBH,3.391
201,1262305613.9863,44.81,22.09,10.406,heavy_BBH,2.031
208,1262305669.3677,24.01,28.51,5.286,light_BBH,2.335
210,1262305685.9883,23.0,32.91,7.127,light_BBH,2.263
211,1262305693.9976,41.75,38.1,8.72,heavy_BBH,1.659
215,1262305724.4092,31.38,29.56,5.176,heavy_BBH,2.059
217,1262305740.1504,31.61,37.14,9.277,heavy_BBH,1.908
218,1262305748.3042,36.82,32.1,5.739,heavy_BBH,1.909
220,1262305766.4565,26.23,35.38,4.771,heavy_BBH,2.062
224,1262305795.9238,30.01,24.43,5.712,light_BBH,2.286
225,1262305805.1812,41.97,15.63,11.748,light_BBH,2.501
227,1262305819.2334,28.2,29.54,16.172,light_BBH,2.157
228,1262305829.6816,14.13,39.07,7.228,light_BBH,2.688
230,1262305845.6484,21.4,38.55,4.746,light_BBH,2.189
231,1262305852.7998,25.31,34.81,6.325,heavy_BBH,2.131
232,1262305862.1973,22.33,38.95,4.885,heavy_BBH,2.134
234,1262305876.6162,32.11,21.29,7.652,light_BBH,2.383
237,1262305899.0479,36.1,44.73,9.986,heavy_BBH,1.661
239,1262305915.1226,18.42,20.54,6.231,light_BBH,3.191
240,1262305923.4502,22.22,43.73,10.729,heavy_BBH,2.063
242,1262305942.4551,34.68,36.22,2.28,heavy_BBH,1.835
245,1262305965.3037,38.84,39.2,16.908,heavy_BBH,1.685
247,1262305982.1245,12.73,26.6,4.709,light_BBH,3.423
249,1262305995.7329,21.07,43.85,15.957,heavy_BBH,2.134
250,1262306006.2104,16.38,40.89,3.899,light_BBH,2.435
253,1262306027.7266,29.24,34.71,10.892,heavy_BBH,1.99
255,1262306043.4932,14.25,23.48,15.505,light_BBH,3.435
256,1262306052.4131,34.89,36.39,12.396,heavy_BBH,1.8
258,1262306068.0679,18.66,26.96,11.48,light_BBH,2.762
259,1262306077.0542,13.07,15.4,7.804,light_BBH,4.67
260,1262306085.5659,28.29,18.46,6.032,light_BBH,2.695
262,1262306099.0269,44.78,22.11,10.41,heavy_BBH,2.031
263,1262306107.4468,21.35,21.57,14.382,light_BBH,2.843
265,1262306126.2549,14.93,28.23,5.88,light_BBH,3.034
268,1262306148.8345,18.5,37.76,19.137,light_BBH,2.342
272,1262306179.5312,16.53,31.06,6.789,light_BBH,2.716
276,1262306211.6401,21.59,38.2,15.827,light_BBH,2.189
281,1262306252.3931,21.81,26.49,9.625,light_BBH,2.566
284,1262306278.4102,34.17,27.68,13.536,heavy_BBH,2.029
286,1262306293.6553,13.46,23.01,3.676,light_BBH,3.592
287,1262306300.5146,24.2,39.32,9.336,heavy_BBH,2.061
288,1262306309.4419,24.64,15.11,7.072,light_BBH,3.242
290,1262306325.1089,31.3,15.68,15.697,light_BBH,2.841
291,1262306333.5918,29.94,38.02,7.548,heavy_BBH,1.959
292,1262306339.772,30.91,26.1,7.177,light_BBH,2.186
294,1262306355.8447,18.87,32.45,7.535,light_BBH,2.514
296,1262306372.7646,28.76,35.88,15.956,heavy_BBH,1.957
298,1262306387.4224,21.46,32.99,5.929,light_BBH,2.333
299,1262306396.5498,19.96,31.43,3.174,light_BBH,2.483
300,1262306406.1313,37.55,13.11,16.986,light_BBH,2.813
301,1262306412.2007,18.2,31.43,7.71,light_BBH,2.608
304,1262306437.8242,12.23,36.3,5.526,light_BBH,3.038
305,1262306444.1807,37.89,27.61,14.287,heavy_BBH,1.961
306,1262306451.8018,16.79,15.29,7.313,light_BBH,4.004
308,1262306470.4531,42.44,16.65,9.096,light_BBH,2.335
309,1262306475.1152,42.89,12.79,7.796,light_BBH,2.681
312,1262306499.8071,44.66,40.83,5.16,heavy_BBH,1.636
313,1262306509.8379,27.92,19.2,8.663,light_BBH,2.683
315,1262306525.1069,31.0,32.62,18.521,heavy_BBH,2.013
317,1262306539.623,37.96,41.87,7.209,heavy_BBH,1.659
318,1262306549.9883,29.32,18.45,2.947,light_BBH,2.66
319,1262306556.5273,16.27,16.16,13.291,light_BBH,3.94
320,1262306563.8076,44.7,12.13,7.528,light_BBH,2.707
325,1262306605.7007,17.55,39.37,12.892,light_BBH,2.367
326,1262306613.043,34.0,27.15,3.923,heavy_BBH,2.059
329,1262306637.5449,19.52,33.68,8.245,light_BBH,2.409
330,1262306645.9248,28.48,20.65,9.034,light_BBH,2.562
335,1262306686.0649,27.29,33.58,7.429,heavy_BBH,2.055
337,1262306700.2466,18.45,22.33,17.05,light_BBH,3.054
339,1262306716.1509,28.48,44.68,4.48,heavy_BBH,1.81
341,1262306734.1289,36.58,17.81,4.824,light_BBH,2.412
342,1262306739.5059,14.98,31.35,4.084,light_BBH,2.855
343,1262306747.8521,13.08,15.29,11.247,light_BBH,4.687
344,1262306755.1064,13.37,37.93,6.956,light_BBH,2.815
345,1262306766.1909,35.39,24.84,12.03,heavy_BBH,2.131
347,1262306780.4526,23.3,32.02,6.186,light_BBH,2.254
348,1262306789.8774,40.29,39.99,5.734,heavy_BBH,1.66
349,1262306795.7515,32.5,28.92,19.212,heavy_BBH,2.038
351,1262306811.1855,36.01,31.55,7.093,heavy_BBH,1.934
352,1262306820.3291,23.9,34.58,14.557,light_BBH,2.184
353,1262306828.8384,15.76,23.52,8.757,light_BBH,3.261
356,1262306853.2837,38.95,23.84,4.648,heavy_BBH,2.054
357,1262306859.7817,17.37,26.39,14.329,light_BBH,2.894
361,1262306891.7578,16.74,40.06,3.329,light_BBH,2.433
363,1262306909.8867,35.18,26.95,5.399,heavy_BBH,2.031
364,1262306918.1572,28.2,19.67,3.627,light_BBH,2.588
368,1262306949.3896,39.32,42.41,12.952,heavy_BBH,1.682
369,1262306958.2764,29.27,13.13,13.446,light_BBH,3.214
370,1262306964.3149,32.85,21.57,5.215,light_BBH,2.333
371,1262306973.6489,19.45,22.24,7.683,light_BBH,2.966
373,1262306989.1006,36.88,19.2,14.458,light_BBH,2.308
374,1262306996.814,30.71,26.11,4.913,light_BBH,2.184
375,1262307005.1665,31.87,18.21,5.848,light_BBH,2.586
377,1262307021.1147,33.23,25.04,6.775,light_BBH,2.16
378,1262307027.7642,14.74,30.21,2.409,light_BBH,2.936
381,1262307053.6924,20.74,34.73,4.88,light_BBH,2.286
383,1262307067.4355,32.82,19.75,11.006,light_BBH,2.416
384,1262307076.4951,26.19,41.57,3.24,heavy_BBH,1.926
387,1262307102.3657,40.1,26.0,4.63,heavy_BBH,1.962
388,1262307109.9478,30.68,35.61,6.84,heavy_BBH,1.935
389,1262307116.2529,21.7,37.49,7.502,light_BBH,2.208
391,1262307133.1064,36.21,39.33,17.745,heavy_BBH,1.807
395,1262307163.2607,44.57,34.17,6.777,heavy_BBH,1.687
397,1262307179.7134,30.37,29.74,10.069,heavy_BBH,2.087
398,1262307189.4688,40.05,26.06,7.313,heavy_BBH,1.949
399,1262307196.1611,36.7,22.92,2.399,light_BBH,2.158
400,1262307204.5425,25.88,37.58,14.102,heavy_BBH,2.052
401,1262307213.2212,36.44,20.4,6.551,light_BBH,2.311
403,1262307228.7441,14.1,35.49,5.57,light_BBH,2.766
404,1262307237.6455,36.88,42.74,6.934,heavy_BBH,1.682
406,1262307252.9414,34.85,16.0,15.282,light_BBH,2.664
408,1262307267.6011,39.49,36.36,7.538,heavy_BBH,1.783
409,1262307275.936,30.91,19.33,6.412,light_BBH,2.514
411,1262307291.5601,43.41,38.91,6.312,heavy_BBH,1.685
412,1262307301.8677,15.58,37.35,5.608,light_BBH,2.542
414,1262307318.0776,33.91,22.93,5.418,light_BBH,2.259
415,1262307325.2783,21.84,21.79,5.591,light_BBH,2.814
416,1262307333.1392,30.41,31.66,2.545,heavy_BBH,2.032
418,1262307349.9204,28.25,41.12,16.501,heavy_BBH,1.933
419,1262307357.1631,20.27,23.31,13.599,light_BBH,2.835
421,1262307371.5894,21.99,38.89,17.844,heavy_BBH,2.167
423,1262307388.4541,14.6,35.36,2.773,light_BBH,2.767
424,1262307395.7168,36.07,36.92,2.584,heavy_BBH,1.789
426,1262307411.0039,16.94,20.44,7.803,light_BBH,3.358
428,1262307430.186,28.99,39.24,7.0,heavy_BBH,1.959
430,1262307444.9902,21.72,34.96,4.041,light_BBH,2.281
432,1262307460.6431,38.36,22.67,6.878,heavy_BBH,2.133
433,1262307469.6836,34.39,33.27,11.138,heavy_BBH,1.935
434,1262307477.2051,41.9,27.87,18.779,heavy_BBH,1.91
436,1262307492.4233,39.97,19.58,16.746,light_BBH,2.212
437,1262307501.1938,21.76,12.3,4.838,light_BBH,3.945
446,1262307571.022,38.92,31.12,4.797,heavy_BBH,1.828
448,1262307589.3306,39.58,34.9,11.953,heavy_BBH,1.837
452,1262307622.0469,16.41,37.4,7.499,light_BBH,2.562
454,1262307636.3198,31.44,35.03,4.897,heavy_BBH,1.912
457,1262307659.3999,25.64,23.16,8.053,light_BBH,2.539
459,1262307677.0107,41.97,14.57,19.248,light_BBH,2.54
461,1262307694.1704,37.75,12.18,7.554,light_BBH,2.965
462,1262307701.9424,44.05,40.11,4.102,heavy_BBH,7.448
466,1262307734.0498,37.06,41.45,4.474,heavy_BBH,1.687
468,1262307750.2539,38.65,41.32,6.935,heavy_BBH,1.659
469,1262307755.9316,26.83,21.45,17.146,light_BBH,2.564
471,1262307771.1704,33.56,15.79,18.364,light_BBH,2.709
475,1262307803.3579,42.6,36.3,5.987,heavy_BBH,1.688
476,1262307814.3804,19.38,16.52,12.051,light_BBH,3.517
477,1262307820.3335,26.8,14.51,18.375,light_BBH,3.165
480,1262307844.29,27.65,13.34,9.506,light_BBH,3.26
482,1262307862.0972,43.48,41.21,7.68,heavy_BBH,7.426
483,1262307870.3745,12.76,16.45,3.439,light_BBH,4.562
485,1262307883.9214,44.01,20.8,9.772,heavy_BBH,2.109
486,1262307893.8481,28.21,25.95,9.463,light_BBH,2.284
487,1262307900.9351,20.68,29.93,6.353,light_BBH,2.465
491,1262307933.9341,44.06,13.67,2.78,light_BBH,2.563
492,1262307940.8628,12.1,32.64,3.032,light_BBH,3.188
497,1262307980.5176,12.54,44.94,18.28,light_BBH,2.712
498,1262307987.9478,16.74,44.66,19.076,heavy_BBH,2.308
500,1262308003.7241,34.3,15.07,17.063,light_BBH,2.764
501,1262308012.7847,15.33,44.15,8.962,light_BBH,2.433
502,1262308019.2715,24.26,39.59,4.685,heavy_BBH,2.042
504,1262308038.1948,16.49,20.59,13.996,light_BBH,3.393
506,1262308053.4404,23.22,29.83,6.639,light_BBH,2.362
507,1262308061.5645,36.09,33.0,17.011,heavy_BBH,1.886
508,1262308068.6787,37.22,28.6,6.025,heavy_BBH,1.93
510,1262308085.8047,26.15,37.53,10.066,heavy_BBH,2.057
512,1262308100.7271,38.88,31.38,6.923,heavy_BBH,1.831
513,1262308107.3823,13.61,42.05,11.994,light_BBH,2.634
516,1262308133.875,42.35,29.74,13.592,heavy_BBH,1.828
517,1262308142.4966,17.44,26.92,7.6,light_BBH,2.861
518,1262308148.7168,16.81,35.99,8.829,light_BBH,2.541
519,1262308155.1904,43.28,33.64,2.572,heavy_BBH,1.713
523,1262308189.6914,21.58,22.86,6.968,light_BBH,2.737
524,1262308196.5884,13.73,37.16,16.838,light_BBH,2.815
527,1262308221.7715,42.69,32.62,4.954,heavy_BBH,1.801
528,1262308227.6519,28.05,38.76,16.824,heavy_BBH,1.936
533,1262308269.2339,19.1,43.08,2.704,heavy_BBH,2.259
541,1262308331.9404,31.7,39.32,5.339,heavy_BBH,1.834
542,1262308340.5259,30.94,12.7,6.288,light_BBH,3.161
543,1262308349.7344,35.94,20.3,14.997,light_BBH,2.282
545,1262308365.0635,38.17,27.08,15.834,heavy_BBH,1.96
547,1262308382.0352,13.5,17.01,10.709,light_BBH,4.296
551,1262308412.5532,44.87,17.59,8.002,heavy_BBH,2.262
553,1262308428.0356,33.74,44.94,13.446,heavy_BBH,1.686
554,1262308438.2847,23.11,12.86,3.187,light_BBH,3.695
555,1262308443.7197,20.93,23.02,11.209,light_BBH,2.813
556,1262308451.1123,31.51,20.64,2.644,light_BBH,2.391
558,1262308468.77,41.65,29.16,14.136,heavy_BBH,1.854
560,1262308483.2397,28.18,38.69,12.521,heavy_BBH,1.936
562,1262308499.1553,39.68,40.15,9.285,heavy_BBH,1.659
565,1262308525.5645,30.99,24.44,4.996,light_BBH,2.26
567,1262308541.6548,33.4,30.96,16.929,heavy_BBH,1.957
572,1262308579.4766,38.55,40.38,4.104,heavy_BBH,1.664
573,1262308587.6479,29.9,40.8,3.426,heavy_BBH,1.855
574,1262308595.8081,37.93,42.35,10.431,heavy_BBH,1.66
578,1262308628.5176,40.86,42.75,18.145,heavy_BBH,1.689
579,1262308636.7734,43.17,31.58,5.043,heavy_BBH,1.837
580,1262308645.708,39.18,29.22,14.458,heavy_BBH,1.94
581,1262308654.1582,33.67,34.17,5.371,heavy_BBH,1.938
584,1262308675.3232,36.71,12.33,4.67,light_BBH,2.968
586,1262308692.0859,30.82,23.43,19.604,light_BBH,2.279
587,1262308700.0103,28.85,21.15,5.396,light_BBH,2.504
588,1262308708.8496,26.05,23.7,12.498,light_BBH,2.459
589,1262308716.644,35.41,30.16,2.815,heavy_BBH,1.93
595,1262308765.4546,13.69,28.34,6.742,light_BBH,3.16
596,1262308772.1953,42.92,12.01,6.827,light_BBH,2.792
600,1262308803.8516,13.21,38.14,10.602,light_BBH,2.837
604,1262308835.062,17.19,34.37,5.324,light_BBH,2.517
605,1262308845.9834,40.47,15.0,6.02,light_BBH,2.555
607,1262308860.6348,36.61,42.62,11.514,heavy_BBH,1.679
609,1262308876.459,23.24,24.96,6.152,light_BBH,2.542
610,1262308885.3804,41.41,31.87,14.559,heavy_BBH,1.789
612,1262308900.9043,35.16,18.8,3.863,light_BBH,2.415
614,1262308915.6284,25.37,20.21,14.245,light_BBH,2.713
615,1262308924.2856,29.33,25.72,8.436,light_BBH,2.257
616,1262308932.8394,42.35,39.84,6.397,heavy_BBH,1.684
618,1262308949.9453,34.76,20.41,4.466,light_BBH,2.293
622,1262308980.6055,18.73,29.93,8.907,light_BBH,2.603
624,1262308997.0405,34.82,17.97,9.974,light_BBH,2.513
627,1262309020.0693,34.33,20.13,6.437,light_BBH,2.381
629,1262309035.7803,41.74,34.94,7.003,heavy_BBH,1.713
631,1262309054.1484,17.9,19.27,11.723,light_BBH,3.386
633,1262309069.1099,44.67,34.79,6.426,heavy_BBH,1.703
635,1262309085.0894,26.19,35.6,4.879,heavy_BBH,2.062
636,1262309091.3003,27.91,16.18,11.058,light_BBH,2.913
637,1262309099.708,40.51,20.92,8.311,heavy_BBH,2.192
638,1262309108.7256,44.1,27.91,5.902,heavy_BBH,1.813
639,1262309115.7358,13.46,18.69,3.065,light_BBH,4.059
645,1262309164.3452,39.6,37.48,11.812,heavy_BBH,1.703
646,1262309172.2905,35.55,37.93,7.758,heavy_BBH,1.807
647,1262309182.3262,13.28,35.77,4.619,light_BBH,2.912
649,1262309197.4893,26.05,24.53,9.4,light_BBH,2.461
651,1262309212.3564,32.99,29.77,16.981,heavy_BBH,2.026
652,1262309220.9639,34.68,27.42,10.09,heavy_BBH,2.008
654,1262309237.1255,43.79,24.57,7.753,heavy_BBH,1.951
655,1262309246.2646,19.88,28.1,10.348,light_BBH,2.591
659,1262309277.917,37.49,13.25,5.434,light_BBH,2.817
661,1262309291.9741,21.79,36.98,4.278,light_BBH,2.181
664,1262309317.2188,33.09,32.05,5.832,heavy_BBH,1.938
669,1262309355.335,17.94,35.83,8.253,light_BBH,2.408
672,1262309381.6074,30.79,32.69,7.824,heavy_BBH,2.012
673,1262309390.02,30.21,41.14,6.223,heavy_BBH,1.835
674,1262309395.0278,19.09,31.48,5.796,light_BBH,2.493
675,1262309404.3545,38.76,19.09,6.892,light_BBH,2.338
678,1262309428.4277,24.64,37.13,8.128,heavy_BBH,2.083
681,1262309451.563,39.06,16.94,7.422,light_BBH,2.46
682,1262309461.1167,37.31,37.19,2.263,heavy_BBH,1.837
683,1262309469.2739,36.56,12.71,4.11,light_BBH,2.917
684,1262309478.1333,38.68,13.05,17.003,light_BBH,2.84
685,1262309484.1411,33.48,34.75,4.69,heavy_BBH,1.939
686,1262309493.5972,13.13,35.31,4.03,light_BBH,2.887
687,1262309499.6289,21.28,44.53,4.264,heavy_BBH,2.107
689,1262309517.1846,13.22,33.36,7.294,light_BBH,2.99
691,1262309534.3555,14.16,24.09,13.883,light_BBH,3.397
693,1262309547.8047,19.06,21.36,5.505,light_BBH,3.063
694,1262309558.0312,24.03,40.55,7.068,heavy_BBH,2.083
695,1262309564.3252,19.06,43.31,18.27,heavy_BBH,2.259
698,1262309588.8057,24.69,26.78,18.161,light_BBH,2.393
699,1262309597.7505,18.07,12.27,14.094,light_BBH,4.396
700,1262309604.4194,39.05,37.66,19.499,heavy_BBH,1.713
701,1262309613.103,17.18,23.58,4.259,light_BBH,3.087
703,1262309627.8579,15.21,16.8,10.693,light_BBH,4.02
704,1262309635.104,23.4,30.33,6.798,light_BBH,2.313
707,1262309659.7036,21.52,28.58,17.983,light_BBH,2.484
708,1262309668.1558,26.33,16.52,5.49,light_BBH,3.009
709,1262309675.3618,36.0,37.83,14.362,heavy_BBH,1.81
714,1262309716.0098,30.49,42.63,6.492,heavy_BBH,1.788
716,1262309732.4565,38.02,31.5,19.774,heavy_BBH,1.862
717,1262309739.0723,17.29,17.04,11.296,light_BBH,3.707
719,1262309757.5483,16.19,41.74,9.731,light_BBH,2.416
725,1262309804.4771,21.87,21.12,15.897,light_BBH,2.845
727,1262309821.7329,35.32,42.9,5.902,heavy_BBH,1.685
728,1262309828.3662,21.16,16.73,4.341,light_BBH,3.336
732,1262309860.0664,25.8,38.79,5.175,heavy_BBH,2.014
733,1262309869.918,38.46,31.5,19.494,heavy_BBH,1.827
734,1262309878.043,33.51,36.97,4.8,heavy_BBH,1.833
736,1262309892.6348,43.01,21.83,19.297,heavy_BBH,2.111
737,1262309899.2969,19.76,27.85,17.311,light_BBH,2.606
738,1262309910.2969,40.57,28.73,15.916,heavy_BBH,1.933
740,1262309925.4453,38.81,27.49,7.32,heavy_BBH,1.956
741,1262309934.4253,32.18,15.15,11.395,light_BBH,2.84
748,1262309988.0649,33.32,31.4,7.168,heavy_BBH,1.96
750,1262310005.27,32.74,18.06,6.568,light_BBH,2.514
754,1262310035.6626,38.94,31.49,7.966,heavy_BBH,1.831
758,1262310068.667,23.73,14.73,5.774,light_BBH,3.366
759,1262310076.0986,44.16,30.64,4.61,heavy_BBH,1.836
761,1262310093.9214,29.45,39.89,16.161,heavy_BBH,1.909
762,1262310101.2905,35.83,13.52,9.943,light_BBH,2.865
763,1262310107.4336,27.32,33.57,10.032,heavy_BBH,2.055
764,1262310115.8682,39.94,12.3,5.89,light_BBH,2.86
767,1262310141.6401,33.18,32.37,4.931,heavy_BBH,1.931
768,1262310148.8203,42.04,30.03,4.485,heavy_BBH,1.829
770,1262310165.5415,34.72,22.15,5.752,light_BBH,2.262
771,1262310172.3286,21.85,35.85,18.741,light_BBH,2.229
773,1262310189.2344,42.7,30.04,5.683,heavy_BBH,1.831
774,1262310196.9062,16.56,40.12,5.973,light_BBH,2.453
777,1262310219.1938,17.01,24.61,7.636,light_BBH,3.014
779,1262310236.9639,22.38,22.94,16.387,light_BBH,2.712
781,1262310253.6519,15.91,36.49,16.577,light_BBH,2.564
782,1262310261.5303,42.82,24.62,6.149,heavy_BBH,1.982
783,1262310267.2632,27.09,15.49,4.081,light_BBH,3.036
786,1262310291.9692,35.44,33.4,7.487,heavy_BBH,1.909
787,1262310301.1772,18.37,18.2,6.016,light_BBH,3.42
788,1262310307.1357,23.35,41.81,16.482,heavy_BBH,2.062
791,1262310332.9189,20.32,42.52,4.472,heavy_BBH,2.138
792,1262310340.4868,29.96,15.43,7.804,light_BBH,2.917
793,1262310349.1284,20.19,20.04,12.485,light_BBH,3.083
794,1262310356.5684,14.16,14.09,10.88,light_BBH,4.671
796,1262310373.5913,37.42,17.58,16.226,light_BBH,2.432
797,1262310379.626,41.78,31.98,7.613,heavy_BBH,1.806
798,1262310390.125,22.8,30.45,5.251,light_BBH,2.363
799,1262310398.4121,26.3,39.45,11.508,heavy_BBH,1.961
